CursusID,VestCode,Nr admgrp,Opl,Cursustype,Code,Naam,Uitwisselingscodes,Sem.,Begindatum,Einddatum,Registratiedatum,AtlLT,AtlContact,AtlIndArbeid,AtlDelib,Lesdagen,Lokaal,Lesgever,Atl 3'den,Atl HvN,IC,HIC,Max,IG,Kost,Fin. bron,Minprocent,Opmerking,Delibdatum1,Delibdatum2,Boekjaar1,Boekjaar2,Gecreëerd,Coördinatoren,Organisatievorm,Nr eenheden
34388,1530,148,B1 - EM,C,M1614A120000273,S1-EM1 do(av) Toegepaste Wiskunde 1 - A1,20161031,1,01-09-16,13-11-16,22-09-16,40,40,0,0,do (av),10,Vanhamel Jurgen,0,0,11,11,8,60,00,0,00,Decretaal,50,,,,0,00,0,00,13-05-16 13:19,Stevens Marc,Volledig contactonderwijs,101128
34389,1530,148,B1 - EM,C,M1614A120000274,S1-EM1 do(av) Toegepaste Wiskunde 2 - A2,20161032,1,14-11-16,29-01-17,01-12-16,40,40,0,0,do (av),10,Vanhamel Jurgen,0,0,11,11,8,60,00,0,00,Decretaal,50,,,,0,00,0,00,13-05-16 13:21,Stevens Marc,Volledig contactonderwijs,101129
34391,1530,148,B1 - EM,C,M1616V120000276,S1-EM1 za(vm) Basis Toegepaste Mechanica - B2,20161034,1,14-11-16,29-01-17,03-12-16,40,40,0,0,za (vm),53,Caelen Rene,0,0,9,9,19,60,00,0,00,Decretaal,50,,,,0,00,0,00,13-05-16 13:28,Stevens Marc,Volledig contactonderwijs,101134
34390,1530,148,B1 - EM,C,M1616V120000275,S1-EM1 za(vm) Tekenen en schema Analyse - A7,20161033,1,01-09-16,13-11-16,24-09-16,40,40,0,0,za (vm),53,Caelen Rene,0,0,9,9,19,60,00,0,00,Decretaal,50,,,,0,00,0,00,13-05-16 13:25,Stevens Marc,Volledig contactonderwijs,101132
34392,1530,148,B1 - EM,C,M1612A120000277,S1-EM2/3 di(av) Digitale Comb.Schakeling - C5,20161035,1,01-09-16,29-01-17,11-10-16,80,80,0,0,di (av),55,Ates Zekai,0,0,15,15,0,120,00,0,00,Decretaal,50,,,,0,00,0,00,13-05-16 13:32,Stevens Marc,Volledig contactonderwijs,101143
34396,1530,148,B1 - EM,C,M1613A120000281,S1-EM2/3 za(vm) Toegepaste Mechanica - B7,20161039,1,01-09-16,29-01-17,15-10-16,80,80,0,0,za (vm),55,Ates Zekai,0,0,10,10,19,120,00,0,00,Decretaal,50,,,,0,00,0,00,13-05-16 13:53,Stevens Marc,Volledig contactonderwijs,101160
34395,1530,148,B1 - EM,C,M1613A120000280,S1-EM3 do(av) Elektrische Machines - C3,20161038,1,01-09-16,29-01-17,13-10-16,40,40,0,0,do (av),56,Ates Zekai,0,0,10,10,0,60,00,0,00,Decretaal,50,,,,0,00,0,00,13-05-16 13:46,Stevens Marc,Volledig contactonderwijs,101141
34420,1530,148,B1 - EM,C,M1614A120000310,S1-EM3 do(av) Lab Elektrische Machinees,20161098,1,01-09-16,31-01-17,13-10-16,40,40,0,0,do (av),47,Ates Zekai,0,0,10,10,0,60,00,0,00,Decretaal,50,,,,0,00,0,00,17-05-16 19:19,Stevens Marc,Volledig contactonderwijs,101142
34410,1530,274,B1-II,C,M1616120000298,JR-II1 za(vm) Programmeren 1 C# -C1,20161055,1,01-09-16,30-06-17,03-12-16,120,120,0,0,za (vm),22A,Stevens Marc,0,0,28,28,30,180,00,0,00,Decretaal,50,,,,0,00,0,00,13-05-16 14:46,Stevens Marc,Volledig contactonderwijs,101823
34413,1530,274,B1-II,C,M1614A120000301,JR-II2 vr(av) Softwareontwikkeling (C#) - C2,20161058,1,01-09-16,30-06-17,09-12-16,120,120,0,0,vr (av),22A,Stevens Marc,0,0,16,16,22,180,00,0,00,Decretaal,50,,,,0,00,0,00,13-05-16 14:58,Stevens Marc,Volledig contactonderwijs,101824
34456,1530,274,B1-II,C,M1612A120000320,JR-II2/3 di(av) OPTIE PLC - Deel 2 - DA1,20161145,1,01-09-16,30-06-17,06-12-16,40,40,0,0,di (av),Labo,Schoolmeesters Danny,0,0,1,1,11,60,00,0,00,Decretaal,50,,,,0,00,0,00,19-05-16 13:34,Stevens Marc,Volledig contactonderwijs,101827
34457,1530,274,B1-II,C,M1612A120000321,JR-II2/3 di(av) OPTIE PLC - Deel 2 - DA2,20161146,1,01-09-16,30-06-17,06-12-16,40,40,0,0,di (av),Labo,Schoolmeesters Danny,0,0,1,1,11,60,00,0,00,Decretaal,50,,,,0,00,0,00,19-05-16 13:35,Stevens Marc,Volledig contactonderwijs,101828
34458,1530,274,B1-II,C,M1612A120000322,JR-II2/3 di(av) OPTIE PLC - Deel 2 - DA5,20161147,1,01-09-16,30-06-17,06-12-16,80,80,0,0,di (av),Labo,Schoolmeesters Danny,0,0,1,1,11,120,00,0,00,Decretaal,50,,,,0,00,0,00,19-05-16 13:36,Stevens Marc,Volledig contactonderwijs,101829
34459,1530,274,B1-II,C,M1613A120000323,JR-II2/3 wo(av) OPTIE PLC - Deel 1 - DA3,20161148,1,01-09-16,30-06-17,07-12-16,80,80,0,0,wo (av),Labo,Schoolmeesters Danny,0,0,5,5,11,120,00,0,00,Decretaal,50,,,,0,00,0,00,19-05-16 13:39,Stevens Marc,Volledig contactonderwijs,101813
34460,1530,274,B1-II,C,M1613A120000324,JR-II2/3 wo(av) OPTIE PLC - Deel 1 - DA4,20161149,1,01-09-16,30-06-17,07-12-16,80,80,0,0,wo (av),Labo,Schoolmeesters Danny,0,0,5,5,11,120,00,0,00,Decretaal,50,,,,0,00,0,00,19-05-16 13:40,Stevens Marc,Volledig contactonderwijs,101814
34414,1530,274,B1-II,C,M1611A120000302,JR-II2/3-GO ma(av) ORGANISATIE-deel1-DB2,20161059,1,01-09-16,30-06-17,10-12-16,40,20,0,0,,W45,Engelen Peter,0,0,8,8,14,60,00,0,00,Decretaal,50,,,,0,00,0,00,13-05-16 15:01,Stevens Marc,Gecombineerd onderwijs dat in aanmerking komt voor berekening van lesurencursist,101816
34415,1530,274,B1-II,C,M1611A120000303,JR-II2/3-GO ma(av) ORGANISATIE-deel1-DB3,20161060,1,01-09-16,30-06-17,10-12-16,40,20,0,0,,W45,Engelen Peter,0,0,8,8,14,60,00,0,00,Decretaal,50,,,,0,00,0,00,13-05-16 15:03,Stevens Marc,Gecombineerd onderwijs dat in aanmerking komt voor berekening van lesurencursist,101810
34416,1530,274,B1-II,C,M1611A120000304,JR-II2/3-GO ma(av) ORGANISATIE-deel1-DB5,20161061,1,01-09-16,30-06-17,10-12-16,80,40,0,0,,W45,Engelen Peter,0,0,8,8,14,120,00,0,00,Decretaal,50,,,,0,00,0,00,13-05-16 15:04,Stevens Marc,Gecombineerd onderwijs dat in aanmerking komt voor berekening van lesurencursist,101830
34858,1530,274,B1-II,C,M1615A120000755,JR-II3 vr(av) Databanken C3,20161623,1,01-09-16,30-06-17,09-12-16,60,60,0,0,vr (av),22A,Stevens Marc,0,0,15,15,22,90,00,0,00,Decretaal,50,,,,0,00,0,00,02-06-16 15:30,,Volledig contactonderwijs,101825
34859,1530,274,B1-II,C,M1615A120000756,JR-II3 vr(av) Datapresentatie C4,20161624,1,01-09-16,30-06-17,09-12-16,40,40,0,0,vr (av),22A,Stevens Marc,0,0,15,15,22,60,00,0,00,Decretaal,50,,,,0,00,0,00,02-06-16 16:15,,Volledig contactonderwijs,101826
34407,1530,274,B1-II,C,M1611A120000295,S1-II1 di(av) Besturingssystemen 1 (in Win10)-B2,20161052,1,01-09-16,29-01-17,11-10-16,80,80,0,0,di (av),45,Jacobs Stijn,0,0,24,24,16,120,00,0,00,Decretaal,50,,,,0,00,0,00,13-05-16 14:37,Stevens Marc,Volledig contactonderwijs,109095
34408,1530,274,B1-II,C,M1614A120000296,S1-II1 do(av) Toegepaste Wiskunde 1 - A1,20161053,1,01-09-16,13-11-16,22-09-16,40,40,0,0,do (av),10,Vanhamel Jurgen,0,0,13,13,8,60,00,0,00,Decretaal,50,,,,0,00,0,00,13-05-16 14:42,Stevens Marc,Volledig contactonderwijs,101811
34409,1530,274,B1-II,C,M1614A120000297,S1-II1 do(av) Toegepaste Wiskunde 2 - A2,20161054,1,14-11-16,29-01-17,01-12-16,40,40,0,0,do (av),10,Vanhamel Jurgen,0,0,14,14,8,60,00,0,00,Decretaal,50,,,,0,00,0,00,13-05-16 14:43,Stevens Marc,Volledig contactonderwijs,101812
34412,1530,274,B1-II,C,M1614A120000300,S1-II2/3 do(av) Datacom. en Netwerken -B4,20161057,1,01-09-16,29-01-17,13-10-16,60,60,0,0,do (av),45,Jacobs Stijn,0,0,8,8,16,90,00,0,00,Decretaal,50,,,,0,00,0,00,13-05-16 14:53,Stevens Marc,Volledig contactonderwijs,101822
34411,1530,274,B1-II,C,M1613A120000299,S1-II2/3 wo(av) Netwerkbesturingssyst. 2 (Linux)B6,20161056,1,01-09-16,29-01-17,12-10-16,80,80,0,0,wo (av),45,Jacobs Stijn,0,0,5,5,16,120,00,0,00,Decretaal,50,,,,0,00,0,00,13-05-16 14:50,Stevens Marc,Volledig contactonderwijs,101838
33763,1530,10173,Bakker,C,M1622A120000158,JR di(av) Specialiteiten broden en harde lxue,20160217,1,01-09-16,30-06-17,06-12-16,80,80,0,0,di (av),Bakkerij,Fonteyn Eddy,0,0,12,12,16,120,00,0,00,Decretaal,50,,,,0,00,0,00,26-04-16 19:52,,Volledig contactonderwijs,110742
33765,1530,10173,Bakker,C,M1622A120000160,JR di(av) Specialiteiten gerezen bladerdeeg,20160219,1,01-09-16,30-06-17,06-12-16,40,40,0,0,di (av),Bakkerij,Fonteyn Eddy,0,0,13,13,16,60,00,0,00,Decretaal,50,,,,0,00,0,00,26-04-16 19:55,,Volledig contactonderwijs,110744
33764,1530,10173,Bakker,C,M1622A120000159,JR di(av) Specialiteiten zachte luxe en taarten,20160218,1,01-09-16,30-06-17,06-12-16,40,40,0,0,di (av),Bakkerij,Fonteyn Eddy,0,0,13,13,16,60,00,0,00,Decretaal,50,,,,0,00,0,00,26-04-16 19:54,,Volledig contactonderwijs,110743
33774,1530,10173,Bakker,C,M1614A120000169,JR do(av) Specialiteit gerezen bladereeg,20160228,2,01-09-16,30-06-17,01-12-16,40,40,0,0,do (av),Bakkerij,Fonteyn Eddy,0,0,12,12,16,60,00,0,00,Decretaal,50,,,,0,00,0,00,26-04-16 20:50,,Volledig contactonderwijs,110744
33773,1530,10173,Bakker,C,M1614A120000168,JR do(av) Specialiteit zachte luxe en taarten,20160227,2,01-09-16,30-06-17,01-12-16,40,40,0,0,do (av),Bakkerij,Fonteyn Eddy,0,0,12,12,16,60,00,0,00,Decretaal,50,,,,0,00,0,00,26-04-16 20:47,,Volledig contactonderwijs,110743
33772,1530,10173,Bakker,C,M1614A120000167,JR do(av) Specialiteiten broden en harde luxe,20160226,2,01-09-16,30-06-17,01-12-16,80,80,0,0,do (av),Bakkerij,Fonteyn Eddy,0,0,12,12,16,120,00,0,00,Decretaal,50,,,,0,00,0,00,26-04-16 20:46,,Volledig contactonderwijs,110742
33769,1530,10173,Bakker,C,M1623A120000164,JR wo(av) Gerezen bladerdeeg,20160223,1,01-09-16,30-06-17,07-12-16,80,80,0,0,wo (av),Bakkerij,Fonteyn Eddy,0,0,16,16,16,120,00,0,00,Decretaal,50,,,,0,00,0,00,26-04-16 20:37,,Volledig contactonderwijs,110749
33768,1530,10173,Bakker,C,M1623A120000163,JR wo(av) Taarten op basis van gistdeeg,20160222,1,01-09-16,30-06-17,07-12-16,80,80,0,0,wo (av),Bakkerij,Fonteyn Eddy,0,0,16,16,16,120,00,0,00,Decretaal,50,,,,0,00,0,00,26-04-16 20:36,,Volledig contactonderwijs,110741
33748,1530,10173,Bakker,C,M1611N120000140,JR-NIEUW ma(nm) Broden en harde luxe,20160171,1,01-09-16,30-06-17,05-12-16,80,80,0,0,ma (nm),Bakkerij,Fonteyn Eddy,0,0,12,12,15,120,00,0,00,Decretaal,50,,,,0,00,0,00,21-04-16 21:29,,Volledig contactonderwijs,110739
33749,1530,10173,Bakker,C,M1611N120000141,JR-NIEUW ma(nm) Gerezen bladerdeeg,20160172,1,01-09-16,30-06-17,05-12-16,80,80,0,0,ma (nm),Bakkerij,Fonteyn Eddy,0,0,12,12,15,120,00,0,00,Decretaal,50,,,,0,00,0,00,21-04-16 21:32,,Volledig contactonderwijs,110749
33767,1530,10174,Banketbakk,C,M1623N120000162,JR wo(nm) Bladerdeeg,20160221,1,01-09-16,30-06-17,07-12-16,80,80,0,0,wo (nm),Bakkerij,Fonteyn Eddy,0,0,12,12,15,120,00,0,00,Decretaal,50,,,,0,00,0,00,26-04-16 20:34,,Volledig contactonderwijs,110759
33766,1530,10174,Banketbakk,C,M1623N120000161,JR wo(nm) Vet en kookdegen,20160220,1,01-09-16,30-06-17,07-12-16,80,80,0,0,wo (nm),Bakkerij,Fonteyn Eddy,0,0,12,12,15,120,00,0,00,Decretaal,50,,,,0,00,0,00,26-04-16 20:31,,Volledig contactonderwijs,110751
33761,1530,10174,Banketbakk,C,M1621N120000156,S1 di(nm) specialiteit bladerdeeg, vet- en kookd,20160215,1,01-09-16,29-01-17,11-10-16,80,80,0,0,di (nm),Bakkerij,Fonteyn Eddy,0,0,12,12,16,120,00,0,00,Decretaal,50,,,,0,00,0,00,26-04-16 19:42,,Volledig contactonderwijs,110755
33770,1530,10174,Banketbakk,C,M1614N120000165,S1 do(nm) Beslagen,20160224,1,01-09-16,29-01-17,13-10-16,80,80,0,0,do (nm),Bakkerij,Fonteyn Eddy,0,0,12,12,16,120,00,0,00,Decretaal,50,,,,0,00,0,00,26-04-16 20:39,,Volledig contactonderwijs,110750
33750,1530,10174,Banketbakk,C,M1611A120000142,S1 ma(av) Specialiteiten bladerdeeg, vet- en kook,20160173,1,01-09-16,23-01-17,10-10-16,80,80,0,0,ma (av),Bakkerij,Fonteyn Eddy,0,0,10,10,16,120,00,0,00,Decretaal,50,,,,0,00,0,00,21-04-16 21:39,,Volledig contactonderwijs,110755
33762,1530,10174,Banketbakk,C,M1622N120000157,S2 di(nm) specialiteit beslagen,20160216,2,30-01-17,30-06-17,21-03-17,80,80,0,0,di (nm),Bakkerij,Fonteyn Eddy,0,0,0,0,16,120,00,0,00,Decretaal,50,,,,0,00,0,00,26-04-16 19:48,,Volledig contactonderwijs,110754
33771,1530,10174,Banketbakk,C,M1624N120000166,S2 do(nm) banketspecialiteiten,20160225,2,30-01-17,30-06-17,23-03-17,80,80,0,0,do (nm),Bakkerij,Fonteyn Eddy,0,0,0,0,16,120,00,0,00,Decretaal,50,,,,0,00,0,00,26-04-16 20:40,,Volledig contactonderwijs,110756
33760,1530,10174,Banketbakk,C,M1622A120000155,S2 ma(av) Specialiteit beslagen,20160214,2,30-01-17,30-06-17,20-03-17,80,80,0,0,ma (av),Bakkerij,Fonteyn Eddy,0,0,0,0,16,120,00,0,00,Decretaal,50,,,,0,00,0,00,26-04-16 19:36,,Volledig contactonderwijs,110754
34900,1523,31,Bedrijfsb.,C,D1612A120000009,S1 di(av) Ondernemingsplan,20161689,1,01-10-16,29-01-17,09-11-16,100,50,0,0,di (av),,,0,0,0,0,0,150,00,0,00,Decretaal,50,,,,0,00,0,00,07-06-16 16:33,,Gecombineerd onderwijs dat in aanmerking komt voor berekening van lesurencursist,100305
34899,1523,31,Bedrijfsb.,C,D1612A120000008,S1 di(av) Zelfstandig Ondernemen,20161688,1,01-10-16,29-01-17,09-11-16,60,30,0,0,di (av),,,0,0,0,0,0,90,00,0,00,Decretaal,50,,,,0,00,0,00,07-06-16 16:32,,Gecombineerd onderwijs dat in aanmerking komt voor berekening van lesurencursist,100304
34871,1530,31,Bedrijfsb.,C,M1611A120000776,S1 ma(av) Ondernemningsplan,20161638,1,01-10-16,29-01-17,09-11-16,100,50,0,0,ma (av),8,SAENEN JAN,0,0,12,12,18,150,00,0,00,Decretaal,50,,,,0,00,0,00,06-06-16 14:18,,Gecombineerd onderwijs dat in aanmerking komt voor berekening van lesurencursist,100305
34870,1530,31,Bedrijfsb.,C,M1611A120000775,S1 ma(av) Zelfstandig Ondernemen,20161637,1,01-10-16,29-01-17,09-11-16,60,30,0,0,ma (av),8,SAENEN JAN,0,0,12,12,18,90,00,0,00,Decretaal,50,,,,0,00,0,00,06-06-16 14:17,,Gecombineerd onderwijs dat in aanmerking komt voor berekening van lesurencursist,100304
34873,1530,31,Bedrijfsb.,C,M1611A120000778,S1 za(vm) Ondernemingsplan,20161640,1,01-10-16,29-01-17,09-11-16,100,50,0,0,za (vm),8,,0,0,0,0,0,150,00,0,00,Decretaal,50,,,,0,00,0,00,06-06-16 14:19,,Gecombineerd onderwijs dat in aanmerking komt voor berekening van lesurencursist,100305
34872,1530,31,Bedrijfsb.,C,M1611A120000777,S1 za(vm) Zelfstandig Ondernemen,20161639,1,01-10-16,29-01-17,09-11-16,60,30,0,0,za (vm),8,,0,0,0,0,0,90,00,0,00,Decretaal,50,,,,0,00,0,00,06-06-16 14:18,,Gecombineerd onderwijs dat in aanmerking komt voor berekening van lesurencursist,100304
34555,1530,38,Behanger,C,M1614A120000464,JR-Behanger 1 do(av) Behangwerk,20161242,1,01-09-16,30-06-17,08-12-16,80,80,0,0,do (av),Schilder,Opdekamp Dave,0,0,0,0,12,120,00,0,00,Decretaal,50,,,,0,00,0,00,21-05-16 11:43,,Volledig contactonderwijs,100414
